Date|Time|Sex|Age|Status
10/17/2019|9:30:00 PM|F|30|dead
10/17/2019|6:00:00 PM|M|22|dead
10/17/2019|7:00:00 AM|F|84|dead
10/17/2019|3:34:00 AM|F|63|dead
10/17/2019|2:58:00 AM|M|69|dead
10/17/2019|2:00:00 AM|F|23|Not_dead
10/16/2019|5:00:00 PM|F|42|dead
10/16/2019|10:45:00 AM|F|13|Not_dead
10/15/2019|8:00:00 PM|F|22|Not_dead
10/15/2019|8:00:00 AM|M|88|dead
10/15/2019|1:08:00 AM|F|19|Not_dead
10/14/2019|8:00:00 PM|M|23|dead
10/14/2019|8:00:00 PM|M|64|dead
10/14/2019|8:00:00 PM|M|40|Not_dead
10/14/2019|12:00:00 PM|M|37|dead
10/14/2019|10:52:00 AM|F|27|dead
10/14/2019|9:18:00 AM|M|74|dead
10/13/2019|2:54:00 AM|F|70|dead
10/12/2019|11:13:00 PM|M|33|Not_dead
10/12/2019|7:05:00 AM|M|29|dead
10/11/2019|5:00:00 AM|M|77|dead
10/10/2019|6:00:00 PM|M|31|dead
10/10/2019|9:40:00 AM|M|66|dead
10/10/2019|6:35:00 AM|F|51|Not_dead
10/9/2019|6:30:00 PM|M|NA|dead
10/9/2019|5:00:00 PM|M|64|Not_dead
10/8/2019|5:00:00 PM|F|20|dead
10/8/2019|12:30:00 PM|F|59|Not_dead
10/6/2019|8:00:00 PM|M|28|Not_dead
10/5/2019|7:35:00 PM|F|NA|dead
10/5/2019|11:31:00 AM|M|72|dead
10/5/2019|8:42:00 AM|M|62|dead
10/5/2019|6:39:00 AM|M|31|dead
10/4/2019|2:02:00 PM|M|34|dead
10/4/2019|12:19:00 PM|F|NA|dead
10/4/2019|9:51:00 AM|M|65|dead
10/3/2019|6:00:00 PM|M|45|dead
10/3/2019|3:00:00 PM|F|22|dead
10/3/2019|3:04:00 PM|F|12|Not_dead
10/3/2019|2:15:00 PM|M|63|dead
10/3/2019|1:00:00 PM|M|NA|Not_dead
10/3/2019|12:00:00 PM|F|54|dead
10/3/2019|1:53:00 AM|M|28|Not_dead
10/2/2019|3:00:00 PM|F|54|dead
10/2/2019|1:29:00 AM|F|20|Not_dead
9/30/2019|10:48:00 PM|M|17|Not_dead
9/30/2019|10:48:00 PM|M|18|Not_dead
9/30/2019|7:55:00 AM|F|66|dead
9/30/2019|6:00:00 AM|F|73|dead
9/30/2019|3:52:00 AM|F|20|Not_dead
9/30/2019|3:00:00 AM|M|77|dead
9/30/2019|3:00:00 AM|F|75|dead
9/29/2019|12:00:00 AM|F|25|Not_dead
9/28/2019|6:00:00 PM|F|24|Not_dead
9/28/2019|5:48:00 AM|M|22|Not_dead
9/28/2019|12:00:00 PM|M|34|Not_dead
9/28/2019|7:41:00 AM|M|71|Not_dead
9/27/2019|12:46:00 PM|M|81|dead
9/26/2019|4:00:00 PM|M|19|Not_dead
9/26/2019|1:46:00 PM|M|79|dead
9/26/2019|8:59:00 AM|M|82|dead
9/26/2019|8:04:00 AM|M|12|Not_dead
9/25/2019|9:00:00 PM|F|33|Not_dead
9/25/2019|5:00:00 PM|F|15|dead
9/25/2019|4:00:00 PM|M|71|dead
9/25/2019|10:04:00 AM|F|43|dead
9/25/2019|5:50:00 AM|M|43|dead
9/24/2019|11:00:00 PM|M|49|dead
9/24/2019|11:28:00 AM|M|47|dead
9/24/2019|10:46:00 AM|M|28|dead
9/23/2019|11:00:00 PM|M|47|dead
9/23/2019|10:59:00 AM|M|39|dead
9/23/2019|9:30:00 AM|M|15|Not_dead
9/22/2019|11:00:00 AM|F|15|dead
9/22/2019|10:00:00 AM|F|43|dead
9/22/2019|6:05:00 AM|M|73|dead
9/22/2019|4:00:00 AM|F|17|Not_dead
9/21/2019|5:00:00 PM|M|79|dead
9/21/2019|5:55:00 AM|M|52|Not_dead
9/21/2019|1:17:00 AM|M|56|dead
9/20/2019|8:16:00 AM|F|56|dead
9/20/2019|8:02:00 AM|M|65|dead
9/20/2019|7:00:00 AM|M|74|dead
9/20/2019|7:00:00 AM|M|30|dead
9/20/2019|4:25:00 AM|M|21|Not_dead
9/19/2019|9:57:00 PM|M|57|dead
9/19/2019|3:48:00 PM|M|25|dead
9/19/2019|8:00:00 AM|F|53|Not_dead
9/18/2019|6:00:00 PM|M|28|Not_dead
9/18/2019|10:54:00 AM|F|61|dead
9/18/2019|1:30:00 AM|M|62|dead
9/17/2019|2:24:00 AM|F|20|Not_dead
9/16/2019|5:23:00 PM|F|39|dead
9/16/2019|8:07:00 AM|F|57|dead
9/16/2019|8:02:00 AM|M|26|dead
9/15/2019|12:00:00 PM|F|46|dead
9/15/2019|5:00:00 AM|F|66|Not_dead
9/14/2019|7:26:00 PM|F|42|dead
9/14/2019|2:11:00 PM|M|18|Not_dead
9/14/2019|12:01:00 PM|F|19|dead
9/13/2019|9:00:00 PM|M|38|dead
9/13/2019|1:03:00 PM|M|57|Not_dead
9/13/2019|6:27:00 AM|M|71|dead
9/12/2019|1:51:00 AM|F|64|dead
9/11/2019|11:00:00 PM|M|72|dead
9/11/2019|11:24:00 AM|M|23|dead
9/11/2019|10:30:00 AM|F|49|dead
9/11/2019|12:00:00 AM|M|16|Not_dead
9/10/2019|11:00:00 PM|M|NA|Not_dead
9/10/2019|3:00:00 PM|F|53|dead
9/10/2019|11:15:00 AM|M|56|Not_dead
9/10/2019|10:00:00 AM|M|77|dead
9/9/2019|7:15:00 AM|M|58|dead
9/8/2019|7:00:00 AM|F|71|dead
9/8/2019|6:08:00 AM|F|56|dead
9/7/2019|7:00:00 PM|M|31|dead
9/7/2019|4:53:00 PM|F|58|dead
9/7/2019|8:00:00 AM|M|81|dead
9/7/2019|12:30:00 PM|F|60|dead
9/7/2019|5:22:00 AM|F|60|dead
9/6/2019|12:00:00 PM|F|55|dead
9/6/2019|10:30:00 AM|F|73|dead
9/6/2019|5:22:00 AM|M|81|dead
9/6/2019|1:10:00 AM|M|72|dead
9/5/2019|11:00:00 PM|F|39|dead
9/5/2019|10:00:00 PM|M|83|dead
9/5/2019|3:00:00 PM|F|39|dead
9/5/2019|8:39:00 AM|M|78|dead
9/4/2019|7:00:00 PM|F|27|dead
9/4/2019|4:00:00 PM|F|NA|Not_dead
9/4/2019|1:35:00 PM|M|49|dead
9/4/2019|9:30:00 AM|F|64|dead
9/3/2019|4:00:00 PM|M|40|Not_dead
9/3/2019|1:00:00 PM|M|25|dead
9/3/2019|9:13:00 AM|F|40|dead
9/2/2019|4:46:00 PM|M|16|dead
9/2/2019|3:00:00 PM|M|15|Not_dead
9/2/2019|12:27:00 PM|M|32|dead
9/1/2019|3:47:00 PM|F|NA|Not_dead
9/1/2019|10:29:00 AM|F|34|Not_dead
8/31/2019|6:57:00 AM|F|55|dead
8/31/2019|12:36:00 AM|M|30|dead
8/30/2019|11:00:00 PM|M|17|dead
8/30/2019|9:44:00 AM|M|69|Not_dead
8/29/2019|11:00:00 PM|F|NA|Not_dead
8/29/2019|9:00:00 PM|M|29|dead
8/29/2019|2:51:00 PM|F|34|dead
8/29/2019|5:15:00 AM|F|83|Not_dead
8/28/2019|10:00:00 PM|M|58|dead
8/28/2019|5:15:00 PM|F|34|dead
8/28/2019|1:00:00 PM|M|51|dead
8/28/2019|12:00:00 AM|M|60|Not_dead
8/27/2019|8:00:00 PM|F|NA|Not_dead
8/27/2019|4:00:00 PM|F|39|Not_dead
8/27/2019|12:45:00 PM|M|29|Not_dead
8/27/2019|12:00:00 AM|M|34|dead
8/26/2019|9:00:00 PM|M|25|dead
8/26/2019|4:00:00 PM|M|NA|dead
8/26/2019|9:00:00 AM|M|60|dead
8/25/2019|8:00:00 PM|M|78|dead
8/24/2019|9:55:00 PM|M|48|dead
8/24/2019|9:00:00 PM|M|40|dead
8/24/2019|6:59:00 AM|F|58|dead
8/24/2019|4:56:00 AM|F|22|dead
8/24/2019|3:00:00 AM|M|50|Not_dead
8/23/2019|12:35:00 PM|M|76|dead
8/23/2019|11:13:00 AM|M|80|dead
8/23/2019|7:03:00 AM|F|29|dead
8/22/2019|2:00:00 PM|M|13|Not_dead
8/22/2019|3:15:00 AM|M|27|dead
8/21/2019|11:00:00 PM|F|40|Not_dead
8/21/2019|8:00:00 PM|M|32|Not_dead
8/21/2019|11:07:00 AM|M|40|Not_dead
8/21/2019|10:21:00 AM|M|NA|Not_dead
8/21/2019|9:11:00 AM|M|63|dead
8/21/2019|6:00:00 AM|M|44|dead
8/20/2019|6:00:00 PM|F|61|dead
8/20/2019|12:21:00 PM|M|16|dead
8/20/2019|12:00:00 AM|M|20|Not_dead
8/19/2019|8:00:00 PM|M|NA|Not_dead
8/19/2019|12:59:00 PM|M|NA|dead
8/19/2019|9:19:00 AM|F|35|Not_dead
8/19/2019|12:00:00 AM|M|46|Not_dead
8/18/2019|7:29:00 AM|M|82|Not_dead
8/18/2019|6:24:00 AM|M|86|dead
8/18/2019|3:52:00 AM|M|29|Not_dead
8/17/2019|6:00:00 PM|F|34|Not_dead
8/16/2019|1:36:00 PM|M|92|dead
8/16/2019|12:37:00 PM|M|NA|Not_dead
8/16/2019|7:10:00 AM|F|40|dead
8/15/2019|11:00:00 PM|M|20|Not_dead
8/15/2019|8:00:00 PM|F|NA|Not_dead
8/15/2019|1:23:00 PM|M|82|dead
8/15/2019|7:00:00 AM|M|19|dead
8/14/2019|4:00:00 PM|M|37|dead
8/14/2019|12:37:00 PM|F|31|Not_dead
8/14/2019|6:00:00 AM|F|NA|Not_dead
8/13/2019|10:07:00 AM|M|46|Not_dead
8/13/2019|6:14:00 AM|F|76|Not_dead
8/13/2019|3:00:00 AM|F|53|dead
8/12/2019|8:00:00 PM|F|85|dead
8/10/2019|10:00:00 PM|M|25|dead
8/10/2019|1:39:00 PM|M|46|Not_dead
8/10/2019|8:50:00 AM|F|30|dead
8/9/2019|7:00:00 PM|M|22|dead
8/9/2019|6:00:00 PM|F|36|dead
8/9/2019|6:00:00 PM|M|62|dead
8/9/2019|6:00:00 PM|M|24|Not_dead
8/9/2019|9:30:00 AM|M|NA|Not_dead
8/9/2019|7:24:00 AM|F|73|dead
8/9/2019|4:52:00 AM|F|14|dead
8/8/2019|5:00:00 PM|F|NA|dead
8/8/2019|7:37:00 AM|F|20|dead
8/8/2019|5:00:00 AM|F|58|dead
8/7/2019|10:36:00 AM|M|53|dead
8/6/2019|8:45:00 AM|M|48|dead
8/6/2019|4:00:00 AM|M|71|dead
8/4/2019|9:00:00 PM|F|26|dead
8/3/2019|8:53:00 AM|M|74|dead
8/2/2019|3:00:00 PM|F|29|dead
8/2/2019|6:00:00 AM|M|42|dead
8/2/2019|12:00:00 AM|F|NA|Not_dead
8/1/2019|5:00:00 PM|M|40|Not_dead
7/31/2019|3:50:00 PM|F|42|dead
7/31/2019|7:00:00 AM|M|40|Not_dead
7/30/2019|12:00:00 AM|M|29|Not_dead
7/28/2019|11:00:00 PM|M|59|dead
7/27/2019|1:00:00 PM|M|25|dead
7/25/2019|9:00:00 AM|M|56|dead
7/24/2019|12:00:00 AM|M|69|dead
7/23/2019|10:00:00 PM|M|41|dead
7/23/2019|11:42:00 AM|F|47|dead
7/23/2019|10:45:00 AM|M|30|Not_dead
7/22/2019|11:00:00 PM|M|26|dead
7/22/2019|5:00:00 PM|M|81|Not_dead
7/22/2019|5:00:00 PM|F|79|dead
7/22/2019|4:45:00 PM|F|33|Not_dead
7/21/2019|3:00:00 PM|M|NA|dead
7/21/2019|12:16:00 PM|M|35|Not_dead
7/20/2019|6:40:00 AM|M|22|dead
7/19/2019|12:00:00 AM|M|29|dead
7/18/2019|1:53:00 PM|F|61|dead
7/18/2019|4:00:00 AM|F|38|Not_dead
7/18/2019|3:18:00 AM|F|94|dead
7/17/2019|11:52:00 PM|M|34|dead
7/17/2019|6:00:00 PM|M|23|dead
7/16/2019|11:00:00 AM|M|95|dead
7/16/2019|10:16:00 AM|F|35|Not_dead
7/16/2019|5:52:00 AM|M|46|dead
7/16/2019|5:42:00 AM|M|32|dead
7/16/2019|5:41:00 AM|F|66|dead
7/16/2019|3:00:00 AM|M|25|Not_dead
7/15/2019|1:08:00 PM|F|31|dead
7/15/2019|7:00:00 AM|F|52|dead
7/15/2019|12:41:00 AM|M|23|dead
7/15/2019|12:30:00 AM|M|45|dead
7/15/2019|12:00:00 AM|F|23|dead
7/14/2019|11:00:00 PM|F|63|dead
7/14/2019|4:00:00 AM|M|39|Not_dead
7/13/2019|8:30:00 PM|M|16|Not_dead
7/13/2019|5:00:00 PM|M|36|Not_dead
7/13/2019|12:00:00 PM|M|39|dead
7/12/2019|3:00:00 PM|M|53|dead
7/12/2019|2:06:00 PM|M|65|dead
7/12/2019|7:49:00 AM|M|73|Not_dead
7/11/2019|2:28:00 PM|F|50|dead
7/11/2019|8:12:00 AM|F|62|Not_dead
7/10/2019|11:00:00 PM|M|18|Not_dead
7/10/2019|8:00:00 PM|M|50|dead
7/10/2019|9:49:00 AM|M|77|dead
7/10/2019|5:37:00 AM|F|62|dead
7/9/2019|10:00:00 PM|M|58|Not_dead
7/9/2019|2:00:00 PM|F|66|dead
7/9/2019|9:14:00 AM|F|90|dead
7/9/2019|8:05:00 AM|M|88|dead
7/9/2019|6:00:00 AM|M|31|dead
7/8/2019|9:00:00 PM|F|46|Not_dead
7/8/2019|7:05:00 PM|M|16|Not_dead
7/7/2019|9:00:00 PM|M|20|Not_dead
7/7/2019|2:49:00 PM|F|45|dead
7/7/2019|8:37:00 AM|M|65|dead
7/7/2019|5:16:00 AM|M|31|Not_dead
7/6/2019|9:14:00 AM|M|22|dead
7/6/2019|6:11:00 AM|M|16|Not_dead
7/6/2019|1:15:00 AM|F|24|Not_dead
7/5/2019|11:45:00 PM|M|36|dead
7/5/2019|10:00:00 PM|M|50|Not_dead
7/5/2019|6:14:00 PM|M|60|Not_dead
7/5/2019|2:45:00 PM|M|32|dead
7/5/2019|1:00:00 PM|M|26|dead
7/5/2019|6:11:00 AM|M|53|dead
7/5/2019|1:00:00 AM|M|23|Not_dead
7/4/2019|10:05:00 AM|M|94|dead
7/4/2019|10:00:00 AM|M|NA|Not_dead
7/4/2019|6:00:00 AM|F|23|Not_dead
7/4/2019|5:00:00 AM|F|72|dead
7/4/2019|12:00:00 AM|M|54|dead
7/3/2019|6:30:00 PM|F|NA|Not_dead
7/3/2019|4:00:00 PM|M|30|Not_dead
7/3/2019|10:45:00 AM|M|12|Not_dead
7/3/2019|9:00:00 AM|M|97|dead
7/3/2019|5:40:00 AM|F|28|dead
7/3/2019|3:00:00 AM|M|30|Not_dead
7/3/2019|3:00:00 AM|F|80|Not_dead
7/2/2019|10:00:00 PM|M|66|dead
7/2/2019|2:00:00 PM|M|60|dead
7/2/2019|12:05:00 PM|M|54|dead
7/2/2019|11:25:00 AM|F|34|dead
7/2/2019|11:06:00 AM|M|68|dead
7/2/2019|7:31:00 AM|M|44|dead
7/2/2019|6:00:00 AM|M|86|dead
7/1/2019|11:10:00 AM|M|94|dead
7/1/2019|9:00:00 AM|M|49|dead
7/1/2019|6:00:00 AM|F|32|dead
6/30/2019|6:00:00 PM|F|41|Not_dead
6/30/2019|3:00:00 PM|F|29|dead
6/30/2019|6:25:00 AM|F|58|dead
6/29/2019|9:00:00 PM|F|28|Not_dead
6/29/2019|4:00:00 PM|F|21|dead
6/29/2019|11:06:00 AM|M|40|dead
6/29/2019|9:45:00 AM|M|58|dead
6/29/2019|12:43:00 AM|F|37|dead
6/29/2019|12:00:00 AM|M|73|dead
6/28/2019|4:00:00 PM|F|52|dead
6/28/2019|11:00:00 AM|F|30|Not_dead
6/28/2019|5:34:00 AM|M|66|dead
6/28/2019|4:59:00 AM|F|28|dead
6/27/2019|1:00:00 PM|M|31|dead
6/26/2019|6:00:00 PM|M|NA|Not_dead
6/26/2019|3:00:00 PM|F|51|Not_dead
6/26/2019|1:00:00 PM|F|19|Not_dead
6/26/2019|8:47:00 AM|M|24|Not_dead
6/25/2019|11:13:00 AM|M|42|dead
6/25/2019|11:00:00 AM|M|30|Not_dead
6/24/2019|3:23:00 PM|F|40|Not_dead
6/24/2019|10:00:00 AM|F|57|dead
6/23/2019|11:00:00 PM|M|20|dead
6/23/2019|11:00:00 PM|F|44|dead
6/23/2019|4:00:00 PM|M|64|dead
6/23/2019|12:00:00 AM|M|78|dead
6/22/2019|12:30:00 PM|M|NA|dead
6/22/2019|11:19:00 AM|F|54|dead
6/22/2019|1:00:00 AM|F|27|Not_dead
6/22/2019|1:00:00 AM|M|38|dead
6/21/2019|2:40:00 PM|F|57|dead
6/21/2019|1:00:00 PM|F|NA|dead
6/20/2019|9:00:00 PM|F|48|dead
6/20/2019|1:00:00 PM|M|70|dead
6/19/2019|11:17:00 AM|F|61|dead
6/19/2019|10:16:00 AM|M|40|Not_dead
6/18/2019|10:00:00 PM|M|53|dead
6/18/2019|5:00:00 PM|M|61|dead
6/18/2019|10:35:00 AM|M|60|dead
6/18/2019|8:00:00 AM|M|37|dead
6/18/2019|12:00:00 AM|M|50|dead
6/17/2019|9:00:00 PM|M|50|Not_dead
6/17/2019|9:00:00 PM|F|55|Not_dead
6/17/2019|9:00:00 PM|F|39|Not_dead
6/17/2019|2:30:00 PM|F|46|Not_dead
6/17/2019|5:00:00 AM|M|30|Not_dead
6/16/2019|1:00:00 PM|M|22|dead
6/16/2019|11:10:00 AM|F|53|Not_dead
6/16/2019|6:00:00 AM|F|60|dead
6/15/2019|4:30:00 PM|M|35|dead
6/15/2019|12:09:00 PM|M|NA|dead
6/15/2019|12:00:00 PM|M|20|dead
6/15/2019|8:00:00 AM|M|59|dead
6/15/2019|7:15:00 AM|F|93|dead
6/15/2019|6:00:00 AM|F|44|dead
6/13/2019|4:50:00 PM|F|65|dead
6/13/2019|12:15:00 PM|M|40|dead
6/12/2019|12:24:00 PM|F|NA|dead
6/12/2019|11:17:00 AM|F|47|dead
6/12/2019|10:00:00 AM|M|NA|Not_dead
6/12/2019|7:17:00 AM|F|67|dead
6/12/2019|2:00:00 AM|M|60|dead
6/12/2019|2:00:00 AM|M|51|dead
6/11/2019|11:00:00 PM|F|41|dead
6/11/2019|11:00:00 PM|F|40|dead
6/11/2019|4:53:00 PM|M|13|dead
6/11/2019|3:00:00 PM|M|37|dead
6/11/2019|1:36:00 PM|F|15|dead
6/11/2019|9:00:00 AM|F|77|dead
6/11/2019|12:00:00 AM|F|19|Not_dead
6/10/2019|10:00:00 PM|M|50|dead
6/10/2019|3:00:00 PM|M|31|dead
6/10/2019|11:00:00 AM|M|59|dead
6/10/2019|7:25:00 AM|M|55|dead
6/9/2019|1:10:00 PM|M|72|dead
6/9/2019|12:05:00 PM|M|55|dead
6/9/2019|8:00:00 AM|M|96|dead
6/9/2019|8:00:00 AM|F|55|dead
6/8/2019|11:00:00 PM|M|24|Not_dead
6/8/2019|9:00:00 PM|M|63|dead
6/8/2019|2:30:00 PM|F|NA|Not_dead
6/8/2019|2:00:00 PM|M|40|Not_dead
6/7/2019|11:00:00 PM|M|79|dead
6/7/2019|3:09:00 PM|M|60|dead
6/7/2019|9:32:00 AM|M|27|dead
6/7/2019|7:16:00 AM|F|78|dead
6/6/2019|2:06:00 PM|F|38|Not_dead
6/6/2019|1:00:00 PM|F|27|Not_dead
6/6/2019|11:58:00 AM|F|31|dead
6/6/2019|6:00:00 AM|M|56|dead
6/6/2019|12:00:00 AM|M|18|Not_dead
6/5/2019|12:21:00 PM|M|41|dead
6/4/2019|10:00:00 PM|M|74|dead
6/4/2019|1:00:00 PM|M|69|dead
6/4/2019|10:16:00 AM|F|33|Not_dead
6/4/2019|4:00:00 AM|F|56|dead
6/3/2019|11:00:00 PM|F|30|Not_dead
6/3/2019|4:16:00 PM|M|47|dead
6/3/2019|1:00:00 PM|F|33|dead
6/3/2019|12:08:00 PM|M|59|dead
6/3/2019|8:11:00 AM|F|52|Not_dead
6/2/2019|2:00:00 PM|M|38|dead
6/1/2019|10:00:00 PM|F|14|dead
6/1/2019|1:16:00 PM|F|66|dead
6/1/2019|6:00:00 AM|M|71|dead
5/31/2019|10:00:00 PM|M|40|dead
5/31/2019|5:00:00 PM|M|54|dead
5/31/2019|12:00:00 PM|M|69|dead
5/30/2019|2:24:00 PM|M|73|dead
5/30/2019|12:00:00 AM|M|51|dead
5/29/2019|11:23:00 PM|M|33|dead
5/29/2019|8:00:00 PM|M|54|dead
5/29/2019|3:00:00 PM|M|50|dead
5/28/2019|11:59:00 PM|M|38|dead
5/28/2019|11:00:00 PM|M|51|dead
5/28/2019|11:00:00 PM|M|56|dead
5/28/2019|10:43:00 AM|M|69|dead
5/28/2019|6:00:00 AM|M|95|dead
5/28/2019|4:00:00 AM|M|88|dead
5/27/2019|9:50:00 AM|F|32|dead
5/27/2019|7:44:00 AM|M|46|dead
5/27/2019|5:33:00 AM|F|48|dead
5/26/2019|2:00:00 PM|F|57|dead
5/26/2019|10:30:00 AM|M|NA|Not_dead
5/26/2019|7:00:00 AM|M|42|dead
5/25/2019|11:41:00 PM|M|30|dead
5/25/2019|10:50:00 AM|M|73|dead
5/24/2019|2:00:00 PM|M|40|dead
5/24/2019|11:00:00 AM|M|56|dead
5/23/2019|11:42:00 AM|F|17|Not_dead
5/23/2019|10:30:00 AM|M|57|Not_dead
5/23/2019|9:24:00 AM|M|57|dead
5/23/2019|9:14:00 AM|M|31|dead
5/23/2019|12:43:00 AM|M|80|dead
5/22/2019|9:34:00 PM|F|49|dead
5/22/2019|9:31:00 PM|M|30|dead
5/22/2019|12:00:00 PM|M|56|Not_dead
5/22/2019|11:18:00 AM|M|42|dead
5/22/2019|10:00:00 AM|M|26|Not_dead
5/21/2019|7:45:00 PM|M|35|Not_dead
5/21/2019|6:00:00 PM|M|28|Not_dead
5/21/2019|5:00:00 PM|M|38|Not_dead
5/21/2019|2:00:00 PM|F|NA|Not_dead
5/21/2019|1:30:00 PM|M|30|Not_dead
5/21/2019|7:22:00 AM|M|75|Not_dead
5/20/2019|11:00:00 PM|F|61|Not_dead
5/20/2019|3:50:00 PM|M|25|dead
5/20/2019|8:22:00 AM|M|54|dead
5/20/2019|5:00:00 AM|F|36|dead
5/19/2019|10:00:00 AM|M|85|dead
5/18/2019|10:32:00 AM|F|36|dead
5/17/2019|4:00:00 PM|M|19|dead
5/17/2019|3:00:00 PM|F|75|dead
