Date|Time|Sex|Age|Status
12/14/2019|6:41:00 AM|M|31|dead
12/14/2019|12:30:00 AM|M|72|dead
12/13/2019|1:35:00 PM|F|66|dead
12/13/2019|9:25:00 AM|M|52|dead
12/13/2019|7:54:00 AM|F|49|dead
12/12/2019|4:00:00 PM|M|48|dead
12/11/2019|10:00:00 PM|M|57|dead
12/11/2019|7:00:00 AM|F|57|dead
12/10/2019|7:09:00 PM|M|45|Not_dead
12/10/2019|7:09:00 PM|F|50|Not_dead
12/10/2019|11:30:00 AM|M|61|dead
12/10/2019|9:00:00 AM|M|62|dead
12/10/2019|8:00:00 AM|F|40|dead
12/9/2019|3:00:00 AM|F|37|Not_dead
12/8/2019|9:14:00 AM|M|23|dead
12/7/2019|12:59:00 PM|F|42|dead
12/6/2019|8:00:00 AM|M|58|dead
12/6/2019|7:10:00 AM|M|26|dead
12/6/2019|6:53:00 AM|F|69|dead
12/6/2019|6:00:00 AM|F|NA|dead
12/5/2019|11:00:00 PM|M|30|Not_dead
12/5/2019|2:00:00 PM|M|29|dead
12/4/2019|1:00:00 PM|M|73|dead
12/3/2019|12:14:00 PM|F|15|Not_dead
12/1/2019|9:00:00 PM|M|29|dead
12/1/2019|3:00:00 PM|M|47|dead
12/1/2019|2:11:00 PM|M|59|dead
11/30/2019|4:00:00 PM|F|40|dead
11/30/2019|6:38:00 AM|M|56|Not_dead
11/30/2019|2:00:00 AM|M|62|dead
11/30/2019|12:00:00 AM|M|31|Not_dead
11/29/2019|6:54:00 AM|M|65|dead
11/29/2019|12:00:00 AM|M|36|dead
11/28/2019|5:50:00 AM|M|47|dead
11/27/2019|12:13:00 PM|F|23|Not_dead
11/27/2019|10:38:00 AM|F|60|Not_dead
11/26/2019|6:00:00 PM|M|55|dead
11/25/2019|4:00:00 PM|M|64|dead
11/25/2019|10:55:00 AM|M|34|dead
11/24/2019|6:00:00 PM|M|16|Not_dead
11/24/2019|12:48:00 AM|M|69|dead
11/22/2019|6:43:00 AM|M|43|dead
11/21/2019|12:00:00 PM|F|NA|Not_dead
11/21/2019|2:00:00 AM|F|29|Not_dead
11/20/2019|7:30:00 AM|F|66|dead
11/17/2019|11:00:00 AM|F|17|dead
11/17/2019|8:58:00 AM|M|68|dead
11/17/2019|6:26:00 AM|M|39|dead
11/16/2019|1:18:00 PM|M|38|dead
11/16/2019|12:00:00 AM|M|76|dead
11/15/2019|7:22:00 AM|F|43|dead
11/14/2019|3:00:00 PM|M|60|dead
11/14/2019|8:00:00 AM|F|54|Not_dead
11/14/2019|6:00:00 AM|M|34|dead
11/13/2019|10:00:00 PM|M|30|dead
11/12/2019|1:19:00 PM|M|52|dead
11/12/2019|1:19:00 PM|F|50|dead
11/12/2019|1:00:00 PM|M|46|dead
11/11/2019|7:04:00 AM|M|NA|dead
11/10/2019|9:00:00 PM|M|51|dead
11/8/2019|4:20:00 PM|F|41|Not_dead
11/7/2019|6:00:00 PM|M|31|dead
11/6/2019|12:00:00 PM|F|37|dead
11/6/2019|10:00:00 AM|M|37|dead
11/5/2019|11:18:00 AM|M|59|dead
11/5/2019|5:00:00 AM|M|64|dead
11/5/2019|4:16:00 AM|F|40|Not_dead
11/4/2019|4:22:00 AM|M|22|dead
11/3/2019|9:00:00 PM|F|16|dead
11/3/2019|9:00:00 PM|F|16|Not_dead
11/3/2019|5:37:00 PM|M|59|dead
11/3/2019|4:00:00 PM|F|32|Not_dead
11/3/2019|1:45:00 PM|M|63|dead
11/3/2019|3:00:00 AM|F|63|dead
11/2/2019|10:00:00 AM|F|37|dead
11/2/2019|9:43:00 AM|M|64|dead
11/1/2019|10:13:00 PM|M|21|dead
11/1/2019|10:19:00 AM|M|52|dead
11/1/2019|6:23:00 AM|M|64|dead
10/31/2019|12:00:00 PM|M|78|dead
10/31/2019|10:24:00 AM|F|NA|dead
10/31/2019|8:39:00 AM|M|74|dead
10/31/2019|7:55:00 AM|M|28|dead
10/31/2019|6:00:00 AM|F|40|Not_dead
10/30/2019|3:00:00 PM|M|64|dead
10/29/2019|11:00:00 PM|F|18|dead
10/28/2019|7:56:00 AM|F|75|dead
10/26/2019|7:00:00 PM|M|40|dead
10/26/2019|4:00:00 PM|M|83|dead
10/26/2019|9:39:00 AM|M|78|dead
10/25/2019|10:00:00 PM|F|53|dead
10/25/2019|2:19:00 PM|F|65|dead
10/24/2019|3:23:00 PM|M|67|dead
10/24/2019|4:31:00 AM|M|72|dead
10/24/2019|3:20:00 AM|M|NA|Not_dead
10/23/2019|12:00:00 PM|M|65|dead
10/23/2019|10:29:00 AM|F|93|dead
10/23/2019|10:00:00 AM|M|31|dead
10/23/2019|1:00:00 AM|M|78|dead
10/22/2019|8:00:00 PM|M|80|dead
10/22/2019|8:00:00 PM|F|80|dead
10/22/2019|6:00:00 PM|F|33|dead
10/22/2019|4:00:00 PM|M|49|dead
10/22/2019|3:10:00 PM|F|46|dead
10/21/2019|10:32:00 PM|M|56|dead
10/21/2019|9:36:00 AM|M|64|dead
10/21/2019|9:16:00 AM|M|48|dead
10/21/2019|3:00:00 AM|M|25|dead
10/20/2019|2:30:00 PM|F|51|dead
10/20/2019|1:00:00 PM|M|22|dead
10/20/2019|12:16:00 AM|F|47|dead
10/19/2019|12:04:00 PM|M|22|dead
10/19/2019|10:00:00 AM|F|32|Not_dead
10/19/2019|6:49:00 AM|F|68|dead
10/19/2019|4:33:00 AM|M|65|Not_dead
10/18/2019|6:00:00 PM|M|30|Not_dead
